appkey,appid,itemcode,itemdesc,addtime
RPT2,2884,REDD,TRAFFIC-REDDI OBSERVED PC,1/3/2018 22:27
RPT3,2884,*NO,*NO SEARCH,1/3/2018 22:27
RPT5,2884,NOT,NOTHING SEIZED,1/3/2018 22:28
RPT6,2884,WAR,WARNING,1/3/2018 22:28
RPT1,2885,VEH,VEHICLE,1/3/2018 22:58
RPT2,2885,EQUI,EQUIPMENT VIOLATION,1/3/2018 22:59
RPT3,2885,*NO,*NO SEARCH,1/3/2018 22:59
RPT6,2885,WAR,WARNING,1/3/2018 23:00
RPT7,2885,NO,NOT CHARGED,1/3/2018 23:00
RPT1,2886,PED,PEDESTRIAN,1/4/2018 0:43
RPT2,2886,WELF,WELFARE CHECK,1/4/2018 0:44
RPT3,2886,PER,PERSON,1/4/2018 0:44
RPT4,2886,INCI,INCIDENT TO ARREST,1/4/2018 0:44
RPT5,2886,NOT,NOTHING SEIZED,1/4/2018 0:44
RPT6,2886,DET,DETOX HOLD,1/4/2018 0:44
RPT7,2886,NO,NOT CHARGED,1/4/2018 0:44
RPT1,2887,PED,PEDESTRIAN,1/4/2018 0:46
RPT2,2887,RECK,TRAFFIC-RECKLESS/CARELESS,1/4/2018 0:47
RPT3,2887,PER,PERSON,1/4/2018 0:47
RPT4,2887,CON,CONSENT,1/4/2018 0:47
RPT5,2887,NOT,NOTHING SEIZED,1/4/2018 0:47
RPT6,2887,WAR,WARNING,1/4/2018 0:47
RPT7,2887,NO,NOT CHARGED,1/4/2018 0:47
RPT1,2888,VEH,VEHICLE,1/4/2018 1:55
RPT2,2888,EQUI,EQUIPMENT VIOLATION,1/4/2018 1:55
RPT3,2888,*NO,*NO SEARCH,1/4/2018 1:55
RPT5,2888,NOT,NOTHING SEIZED,1/4/2018 1:55
RPT6,2888,WAR,WARNING,1/4/2018 1:55
RPT7,2888,NO,NOT CHARGED,1/4/2018 1:55
RPT1,2889,VEH,VEHICLE,1/4/2018 2:18
RPT2,2889,SPEE,TRAFFIC-SPEEDING,1/4/2018 2:18
RPT3,2889,*NO,*NO SEARCH,1/4/2018 2:18
RPT6,2889,WAR,WARNING,1/4/2018 2:19
RPT1,2890,VEH,VEHICLE,1/4/2018 2:26
RPT2,2890,SUSP,SUSPICIOUS,1/4/2018 2:26
RPT3,2890,*NO,*NO SEARCH,1/4/2018 2:26
RPT6,2890,WAR,WARNING,1/4/2018 2:26
RPT1,2891,PED,PEDESTRIAN,1/4/2018 2:27
RPT2,2891,MUNI,MUNICIPAL VIOLATION,1/4/2018 2:27
RPT3,2891,*NO,*NO SEARCH,1/4/2018 2:27
RPT6,2891,CIT,CITATION,1/4/2018 2:27
RPT1,2892,PED,PEDESTRIAN,1/4/2018 2:28
RPT2,2892,MUNI,MUNICIPAL VIOLATION,1/4/2018 2:28
RPT3,2892,*NO,*NO SEARCH,1/4/2018 2:28
RPT6,2892,CIT,CITATION,1/4/2018 2:28
RPT1,2893,PED,PEDESTRIAN,1/4/2018 2:29
RPT2,2893,MUNI,MUNICIPAL VIOLATION,1/4/2018 2:29
RPT3,2893,*NO,*NO SEARCH,1/4/2018 2:29
RPT6,2893,WAR,WARNING,1/4/2018 2:29
RPT1,2894,VEH,VEHICLE,1/4/2018 5:24
RPT2,2894,EQUI,EQUIPMENT VIOLATION,1/4/2018 5:24
RPT6,2894,WAR,WARNING,1/4/2018 5:24
RPT1,2895,VEH,VEHICLE,1/4/2018 5:25
RPT2,2895,EQUI,EQUIPMENT VIOLATION,1/4/2018 5:25
RPT6,2895,WAR,WARNING,1/4/2018 5:25
RPT1,2896,PED,PEDESTRIAN,1/4/2018 6:13
RPT2,2896,MUNI,MUNICIPAL VIOLATION,1/4/2018 6:13
RPT3,2896,*NO,*NO SEARCH,1/4/2018 6:14
RPT5,2896,NOT,NOTHING SEIZED,1/4/2018 6:14
RPT6,2896,WAR,WARNING,1/4/2018 6:14
RPT7,2896,NO,NOT CHARGED,1/4/2018 6:14
RPT1,2897,PED,PEDESTRIAN,1/4/2018 6:15
RPT2,2897,MUNI,MUNICIPAL VIOLATION,1/4/2018 6:15
RPT3,2897,*NO,*NO SEARCH,1/4/2018 6:15
RPT6,2897,CIT,CITATION,1/4/2018 6:15
RPT7,2897,MUNI,MUNICIPAL,1/4/2018 6:15
RPT1,2898,PED,PEDESTRIAN,1/4/2018 0:57
RPT2,2898,MUNI,MUNICIPAL VIOLATION,1/4/2018 0:57
RPT3,2898,*NO,*NO SEARCH,1/4/2018 0:57
RPT6,2898,FC,FIELD CONTACT,1/4/2018 0:57
RPT6,2898,WAR,WARNING,1/4/2018 0:57
RPT1,2899,VEH,VEHICLE,1/4/2018 3:32
RPT2,2899,MUNI,MUNICIPAL VIOLATION,1/4/2018 3:32
RPT3,2899,*NO,*NO SEARCH,1/4/2018 3:32
RPT6,2899,FC,FIELD CONTACT,1/4/2018 3:32
RPT6,2899,WAR,WARNING,1/4/2018 3:32
RPT1,2900,VEH,VEHICLE,1/4/2018 7:48
RPT2,2900,EQUI,EQUIPMENT VIOLATION,1/4/2018 7:48
RPT3,2900,*NO,*NO SEARCH,1/4/2018 7:48
RPT6,2900,WAR,WARNING,1/4/2018 7:49
RPT5,2900,NOT,NOTHING SEIZED,1/4/2018 7:49
RPT7,2900,TRAF,TRAFFIC,1/4/2018 7:49
RPT2,2901,SPEE,TRAFFIC-SPEEDING,1/4/2018 8:49
RPT3,2901,*NO,*NO SEARCH,1/4/2018 8:49
RPT6,2901,CIT,CITATION,1/4/2018 8:49
RPT7,2901,TRAF,TRAFFIC,1/4/2018 8:49
RPT1,2902,VEH,VEHICLE,1/4/2018 12:25
RPT2,2902,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:25
RPT3,2902,*NO,*NO SEARCH,1/4/2018 12:25
RPT6,2902,CIT,CITATION,1/4/2018 12:25
RPT1,2903,VEH,VEHICLE,1/4/2018 12:26
RPT2,2903,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:26
RPT3,2903,*NO,*NO SEARCH,1/4/2018 12:26
RPT6,2903,CIT,CITATION,1/4/2018 12:26
RPT1,2904,VEH,VEHICLE,1/4/2018 12:27
RPT2,2904,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:27
RPT3,2904,*NO,*NO SEARCH,1/4/2018 12:27
RPT6,2904,CIT,CITATION,1/4/2018 12:27
RPT1,2905,VEH,VEHICLE,1/4/2018 12:31
RPT2,2905,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:31
RPT3,2905,*NO,*NO SEARCH,1/4/2018 12:31
RPT6,2905,CIT,CITATION,1/4/2018 12:31
RPT7,2905,TRAF,TRAFFIC,1/4/2018 12:31
RPT1,2906,VEH,VEHICLE,1/4/2018 12:28
RPT2,2906,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:28
RPT3,2906,VEH,VEHICLE,1/4/2018 12:28
RPT6,2906,CIT,CITATION,1/4/2018 12:28
RPT1,2907,VEH,VEHICLE,1/4/2018 12:29
RPT2,2907,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/4/2018 12:29
RPT3,2907,*NO,*NO SEARCH,1/4/2018 12:29
RPT6,2907,WAR,WARNING,1/4/2018 12:29
RPT1,2908,VEH,VEHICLE,1/4/2018 12:33
RPT2,2908,SPEE,TRAFFIC-SPEEDING,1/4/2018 12:33
RPT3,2908,*NO,*NO SEARCH,1/4/2018 12:33
RPT6,2908,CIT,CITATION,1/4/2018 12:33
RPT7,2908,TRAF,TRAFFIC,1/4/2018 12:33
RPT1,2909,VEH,VEHICLE,1/4/2018 12:34
RPT2,2909,EQUI,EQUIPMENT VIOLATION,1/4/2018 12:34
RPT3,2909,*NO,*NO SEARCH,1/4/2018 12:34
RPT6,2909,CIT,CITATION,1/4/2018 12:34
RPT7,2909,TRAF,TRAFFIC,1/4/2018 12:34
RPT1,2910,VEH,VEHICLE,1/4/2018 12:35
RPT2,2910,EQUI,EQUIPMENT VIOLATION,1/4/2018 12:35
RPT3,2910,*NO,*NO SEARCH,1/4/2018 12:35
RPT6,2910,CIT,CITATION,1/4/2018 12:35
RPT7,2910,TRAF,TRAFFIC,1/4/2018 12:35
RPT1,2911,VEH,VEHICLE,1/4/2018 10:53
RPT2,2911,SPEE,TRAFFIC-SPEEDING,1/4/2018 10:53
RPT3,2911,*NO,*NO SEARCH,1/4/2018 10:53
RPT6,2911,CIT,CITATION,1/4/2018 10:53
RPT7,2911,TRAF,TRAFFIC,1/4/2018 10:54
RPT1,2912,VEH,VEHICLE,1/4/2018 11:16
RPT2,2912,SPEE,TRAFFIC-SPEEDING,1/4/2018 11:16
RPT3,2912,*NO,*NO SEARCH,1/4/2018 11:16
RPT6,2912,CIT,CITATION,1/4/2018 11:16
RPT7,2912,TRAF,TRAFFIC,1/4/2018 11:17
RPT1,2914,PED,PEDESTRIAN,1/5/2018 0:46
RPT2,2914,MUNI,MUNICIPAL VIOLATION,1/5/2018 0:46
RPT3,2914,*NO,*NO SEARCH,1/5/2018 0:46
RPT6,2914,WAR,WARNING,1/5/2018 0:46
RPT1,2916,VEH,VEHICLE,1/5/2018 0:58
RPT2,2916,MUNI,MUNICIPAL VIOLATION,1/5/2018 0:59
RPT3,2916,*NO,*NO SEARCH,1/5/2018 0:59
RPT6,2916,WAR,WARNING,1/5/2018 0:59
RPT1,2917,VEH,VEHICLE,1/5/2018 1:01
RPT2,2917,RECK,TRAFFIC-RECKLESS/CARELESS,1/5/2018 1:01
RPT3,2917,VEH,VEHICLE,1/5/2018 1:01
RPT4,2917,IMP,IMPOUND,1/5/2018 1:02
RPT4,2917,INCI,INCIDENT TO ARREST,1/5/2018 1:02
RPT6,2917,ARR,ARREST,1/5/2018 1:02
RPT7,2917,MISD,MISDEMEANOR,1/5/2018 1:02
RPT1,2918,VEH,VEHICLE,1/5/2018 1:21
RPT2,2918,EQUI,EQUIPMENT VIOLATION,1/5/2018 1:21
RPT3,2918,*NO,*NO SEARCH,1/5/2018 1:21
RPT6,2918,NO,NO ACTION,1/5/2018 1:21
RPT1,2919,VEH,VEHICLE,1/5/2018 1:22
RPT2,2919,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/5/2018 1:22
RPT3,2919,*NO,*NO SEARCH,1/5/2018 1:22
RPT6,2919,NO,NO ACTION,1/5/2018 1:22
RPT1,2920,VEH,VEHICLE,1/5/2018 8:52
RPT2,2920,SPEE,TRAFFIC-SPEEDING,1/5/2018 8:53
RPT3,2920,*NO,*NO SEARCH,1/5/2018 8:53
RPT6,2920,WAR,WARNING,1/5/2018 8:53
RPT1,2921,VEH,VEHICLE,1/5/2018 10:13
RPT2,2921,EQUI,EQUIPMENT VIOLATION,1/5/2018 10:13
RPT3,2921,*NO,*NO SEARCH,1/5/2018 10:13
RPT6,2921,CIT,CITATION,1/5/2018 10:13
RPT7,2921,TRAF,TRAFFIC,1/5/2018 10:13
RPT1,2922,VEH,VEHICLE,1/4/2018 8:15
RPT2,2922,RECK,TRAFFIC-RECKLESS/CARELESS,1/4/2018 8:15
RPT3,2922,*NO,*NO SEARCH,1/4/2018 8:15
RPT6,2922,WAR,WARNING,1/4/2018 8:15
RPT1,2923,VEH,VEHICLE,1/5/2018 11:01
RPT2,2923,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/5/2018 11:02
RPT3,2923,*NO,*NO SEARCH,1/5/2018 11:02
RPT6,2923,WAR,WARNING,1/5/2018 11:02
RPT1,2924,VEH,VEHICLE,1/5/2018 11:03
RPT2,2924,SPEE,TRAFFIC-SPEEDING,1/5/2018 11:03
RPT3,2924,*NO,*NO SEARCH,1/5/2018 11:03
RPT6,2924,CIT,CITATION,1/5/2018 11:03
RPT1,2925,VEH,VEHICLE,1/5/2018 11:04
RPT2,2925,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/5/2018 11:04
RPT3,2925,*NO,*NO SEARCH,1/5/2018 11:04
RPT6,2925,WAR,WARNING,1/5/2018 11:04
RPT1,2926,VEH,VEHICLE,1/5/2018 11:05
RPT2,2926,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/5/2018 11:05
RPT3,2926,*NO,*NO SEARCH,1/5/2018 11:05
RPT6,2926,WAR,WARNING,1/5/2018 11:05
RPT1,2927,VEH,VEHICLE,1/5/2018 14:17
RPT2,2927,SPEE,TRAFFIC-SPEEDING,1/5/2018 14:17
RPT3,2927,*NO,*NO SEARCH,1/5/2018 14:17
RPT6,2927,CIT,CITATION,1/5/2018 14:18
RPT1,2928,VEH,VEHICLE,1/5/2018 14:19
RPT2,2928,SPEE,TRAFFIC-SPEEDING,1/5/2018 14:19
RPT3,2928,*NO,*NO SEARCH,1/5/2018 14:19
RPT6,2928,CIT,CITATION,1/5/2018 14:19
RPT1,2929,VEH,VEHICLE,1/5/2018 14:20
RPT2,2929,SPEE,TRAFFIC-SPEEDING,1/5/2018 14:21
RPT3,2929,*NO,*NO SEARCH,1/5/2018 14:21
RPT6,2929,CIT,CITATION,1/5/2018 14:21
RPT1,2930,VEH,VEHICLE,1/5/2018 14:21
RPT2,2930,SPEE,TRAFFIC-SPEEDING,1/5/2018 14:22
RPT3,2930,*NO,*NO SEARCH,1/5/2018 14:22
RPT6,2930,CIT,CITATION,1/5/2018 14:22
RPT1,2931,VEH,VEHICLE,1/5/2018 18:36
RPT2,2931,NOIS,NOISE VIOLATION,1/5/2018 18:36
RPT3,2931,*NO,*NO SEARCH,1/5/2018 18:36
RPT6,2931,WAR,WARNING,1/5/2018 18:36
RPT1,2932,VEH,VEHICLE,1/5/2018 22:22
RPT2,2932,SUSP,SUSPICIOUS,1/5/2018 22:22
RPT3,2932,*NO,*NO SEARCH,1/5/2018 22:23
RPT6,2932,WAR,WARNING,1/5/2018 22:23
RPT7,2932,NO,NOT CHARGED,1/5/2018 22:23
RPT1,2933,VEH,VEHICLE,1/5/2018 22:23
RPT2,2933,SUSP,SUSPICIOUS,1/5/2018 22:23
RPT3,2933,*NO,*NO SEARCH,1/5/2018 22:24
RPT6,2933,WAR,WARNING,1/5/2018 22:24
RPT7,2933,NO,NOT CHARGED,1/5/2018 22:24
RPT1,2934,PED,PEDESTRIAN,1/6/2018 1:59
RPT2,2934,EQUI,EQUIPMENT VIOLATION,1/6/2018 2:00
RPT3,2934,*NO,*NO SEARCH,1/6/2018 2:00
RPT6,2934,WAR,WARNING,1/6/2018 2:00
RPT1,2935,PED,PEDESTRIAN,1/6/2018 1:05
RPT2,2935,MUNI,MUNICIPAL VIOLATION,1/6/2018 1:05
RPT3,2935,*NO,*NO SEARCH,1/6/2018 1:05
RPT6,2935,WAR,WARNING,1/6/2018 1:06
RPT1,2936,VEH,VEHICLE,1/6/2018 1:44
RPT2,2936,MUNI,MUNICIPAL VIOLATION,1/6/2018 1:44
RPT3,2936,*NO,*NO SEARCH,1/6/2018 1:44
RPT6,2936,WAR,WARNING,1/6/2018 1:44
RPT1,2937,VEH,VEHICLE,1/6/2018 1:53
RPT2,2937,EQUI,EQUIPMENT VIOLATION,1/6/2018 1:53
RPT3,2937,*NO,*NO SEARCH,1/6/2018 1:53
RPT6,2937,WAR,WARNING,1/6/2018 1:53
RPT1,2938,VEH,VEHICLE,1/6/2018 9:42
RPT2,2938,RECK,TRAFFIC-RECKLESS/CARELESS,1/6/2018 9:43
RPT3,2938,*NO,*NO SEARCH,1/6/2018 9:43
RPT6,2938,WAR,WARNING,1/6/2018 9:43
RPT1,2939,VEH,VEHICLE,1/6/2018 13:20
RPT2,2939,SPEE,TRAFFIC-SPEEDING,1/6/2018 13:20
RPT3,2939,*NO,*NO SEARCH,1/6/2018 13:20
RPT6,2939,CIT,CITATION,1/6/2018 13:20
RPT1,2940,VEH,VEHICLE,1/6/2018 13:21
RPT2,2940,SPEE,TRAFFIC-SPEEDING,1/6/2018 13:22
RPT3,2940,*NO,*NO SEARCH,1/6/2018 13:22
RPT6,2940,CIT,CITATION,1/6/2018 13:22
RPT1,2941,VEH,VEHICLE,1/6/2018 13:22
RPT2,2941,SPEE,TRAFFIC-SPEEDING,1/6/2018 13:22
RPT3,2941,*NO,*NO SEARCH,1/6/2018 13:22
RPT6,2941,CIT,CITATION,1/6/2018 13:25
RPT1,2942,VEH,VEHICLE,1/6/2018 13:27
RPT2,2942,SPEE,TRAFFIC-SPEEDING,1/6/2018 13:27
RPT3,2942,*NO,*NO SEARCH,1/6/2018 13:27
RPT6,2942,CIT,CITATION,1/6/2018 13:27
RPT1,2943,VEH,VEHICLE,1/6/2018 13:28
RPT2,2943,SPEE,TRAFFIC-SPEEDING,1/6/2018 13:28
RPT3,2943,*NO,*NO SEARCH,1/6/2018 13:28
RPT6,2943,CIT,CITATION,1/6/2018 13:29
RPT1,2944,VEH,VEHICLE,1/6/2018 11:59
RPT2,2944,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/6/2018 11:59
RPT3,2944,*NO,*NO SEARCH,1/6/2018 11:59
RPT6,2944,WAR,WARNING,1/6/2018 11:59
RPT7,2944,NO,NOT CHARGED,1/6/2018 11:59
RPT1,2945,VEH,VEHICLE,1/6/2018 12:09
RPT2,2945,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/6/2018 12:09
RPT3,2945,*NO,*NO SEARCH,1/6/2018 12:09
RPT6,2945,CIT,CITATION,1/6/2018 12:09
RPT7,2945,TRAF,TRAFFIC,1/6/2018 12:09
RPT1,2946,PED,PEDESTRIAN,1/5/2018 0:44
RPT2,2946,MUNI,MUNICIPAL VIOLATION,1/5/2018 0:44
RPT3,2946,*NO,*NO SEARCH,1/5/2018 0:44
RPT6,2946,WAR,WARNING,1/5/2018 0:45
RPT1,2947,VEH,VEHICLE,1/6/2018 20:17
RPT2,2947,RECK,TRAFFIC-RECKLESS/CARELESS,1/6/2018 20:17
RPT3,2947,*NO,*NO SEARCH,1/6/2018 20:17
RPT6,2947,CIT,CITATION,1/6/2018 20:18
RPT7,2947,MUNI,MUNICIPAL,1/6/2018 20:18
RPT1,2948,VEH,VEHICLE,1/6/2018 22:53
RPT2,2948,MUNI,MUNICIPAL VIOLATION,1/6/2018 22:54
RPT3,2948,*NO,*NO SEARCH,1/6/2018 22:54
RPT5,2948,NOT,NOTHING SEIZED,1/6/2018 22:54
RPT6,2948,WAR,WARNING,1/6/2018 22:54
RPT1,2949,VEH,VEHICLE,1/6/2018 23:12
RPT2,2949,MUNI,MUNICIPAL VIOLATION,1/6/2018 23:12
RPT3,2949,*NO,*NO SEARCH,1/6/2018 23:12
RPT6,2949,WAR,WARNING,1/6/2018 23:12
RPT7,2949,NO,NOT CHARGED,1/6/2018 23:12
RPT1,2950,VEH,VEHICLE,1/6/2018 23:59
RPT2,2950,RECK,TRAFFIC-RECKLESS/CARELESS,1/6/2018 23:59
RPT3,2950,*NO,*NO SEARCH,1/6/2018 23:59
RPT6,2950,CIT,CITATION,1/7/2018 0:00
RPT7,2950,TRAF,TRAFFIC,1/7/2018 0:00
RPT1,2951,VEH,VEHICLE,1/7/2018 1:10
RPT2,2951,MUNI,MUNICIPAL VIOLATION,1/7/2018 1:10
RPT3,2951,*NO,*NO SEARCH,1/7/2018 1:10
RPT6,2951,WAR,WARNING,1/7/2018 1:11
RPT7,2951,NO,NOT CHARGED,1/7/2018 1:11
RPT1,2952,VEH,VEHICLE,1/7/2018 3:13
RPT2,2952,SPEE,TRAFFIC-SPEEDING,1/7/2018 3:13
RPT3,2952,VEH,VEHICLE,1/7/2018 3:13
RPT3,2952,PER,PERSON,1/7/2018 3:13
RPT4,2952,CON,CONSENT,1/7/2018 3:13
RPT5,2952,NOT,NOTHING SEIZED,1/7/2018 3:13
RPT6,2952,WAR,WARNING,1/7/2018 3:13
RPT1,2953,VEH,VEHICLE,1/7/2018 3:14
RPT2,2953,SPEE,TRAFFIC-SPEEDING,1/7/2018 3:14
RPT3,2953,VEH,VEHICLE,1/7/2018 3:15
RPT4,2953,CON,CONSENT,1/7/2018 3:15
RPT5,2953,NOT,NOTHING SEIZED,1/7/2018 3:15
RPT6,2953,CIT,CITATION,1/7/2018 3:15
RPT1,2954,VEH,VEHICLE,1/7/2018 3:17
RPT2,2954,EQUI,EQUIPMENT VIOLATION,1/7/2018 3:17
RPT3,2954,VEH,VEHICLE,1/7/2018 3:17
RPT3,2954,PER,PERSON,1/7/2018 3:17
RPT4,2954,PROB,PROBABLE CAUSE,1/7/2018 3:17
RPT5,2954,DRU,DRUGS,1/7/2018 3:17
RPT5,2954,STO,STOLEN PROPERTY,1/7/2018 3:17
RPT5,2954,OTH,OTHER EVIDENCE,1/7/2018 3:17
RPT6,2954,ARR,ARREST,1/7/2018 3:17
RPT1,2955,VEH,VEHICLE,1/7/2018 3:19
